Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,55.5959930153479
Afghanistan,AFG,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Afghanistan,AFG,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,..
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,571.542505760778
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.870693430657
Albania,ALB,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Albania,ALB,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,33.2
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4864.3106163045
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.3777146120063
Algeria,DZA,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Algeria,DZA,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.54243
Algeria,DZA,Gini index (World Bank estimate),SI.POV.GINI,..
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4793.94665710645
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,278.1
American Samoa,ASM,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
American Samoa,ASM,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
American Samoa,ASM,Gini index (World Bank estimate),SI.POV.GINI,..
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9048.18252237097
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.831914893617
Andorra,AND,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,100
Andorra,AND,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,100
Andorra,AND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Andorra,AND,Gini index (World Bank estimate),SI.POV.GINI,..
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,44430.7440094935
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,23.9165380604797
Angola,AGO,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Angola,AGO,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Angola,AGO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Angola,AGO,Gini index (World Bank estimate),SI.POV.GINI,..
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3409.92928470159
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,216.877272727273
Antigua and Barbuda,ATG,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Antigua and Barbuda,ATG,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Antigua and Barbuda,ATG,Gini index (World Bank estimate),SI.POV.GINI,..
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,14220.5021076325
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.0941907925267
Argentina,ARG,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Argentina,ARG,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.54152
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,41.2
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10404.2635134208
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.435511064278
Armenia,ARM,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Armenia,ARM,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.22788
Armenia,ARM,Gini index (World Bank estimate),SI.POV.GINI,33.6
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4198.79474867504
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,585.366666666667
Aruba,ABW,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Aruba,ABW,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Aruba,ABW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Aruba,ABW,Gini index (World Bank estimate),SI.POV.GINI,..
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,26630.2052807325
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.19836141871706
Australia,AUS,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,100
Australia,AUS,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,100
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.87372
Australia,AUS,Gini index (World Bank estimate),SI.POV.GINI,..
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,56095.1863203728
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,106.607445296677
Austria,AUT,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,100
Austria,AUT,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,100
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.05212
Austria,AUT,Gini index (World Bank estimate),SI.POV.GINI,29.7
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,49112.7328902854
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,119.197205757832
Azerbaijan,AZE,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Azerbaijan,AZE,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Azerbaijan,AZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.18468
Azerbaijan,AZE,Gini index (World Bank estimate),SI.POV.GINI,..
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5764.69251955865
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,38.137962037962
"Bahamas, The",BHS,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
"Bahamas, The",BHS,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
"Bahamas, The",BHS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
"Bahamas, The",BHS,Gini index (World Bank estimate),SI.POV.GINI,..
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27113.6753665173
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,1920.40352364259
Bahrain,BHR,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bahrain,BHR,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bahrain,BHR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bahrain,BHR,Gini index (World Bank estimate),SI.POV.GINI,..
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,22128.4326997504
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1226.63127448721
Bangladesh,BGD,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bangladesh,BGD,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bangladesh,BGD,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bangladesh,BGD,Gini index (World Bank estimate),SI.POV.GINI,..
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1127.27176833347
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,665.658139534884
Barbados,BRB,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Barbados,BRB,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Barbados,BRB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Barbados,BRB,Gini index (World Bank estimate),SI.POV.GINI,..
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,16254.2404265057
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.792242075569
Belarus,BLR,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Belarus,BLR,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Belarus,BLR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.58411
Belarus,BLR,Gini index (World Bank estimate),SI.POV.GINI,25.4
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6375.28892983321
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,375.66571994716
Belgium,BEL,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,100
Belgium,BEL,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,100
Belgium,BEL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.70234
Belgium,BEL,Gini index (World Bank estimate),SI.POV.GINI,27.4
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,46637.5108912501
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,16.4738711091626
Belize,BLZ,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Belize,BLZ,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Belize,BLZ,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Belize,BLZ,Gini index (World Bank estimate),SI.POV.GINI,..
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4211.44674509465
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,99.1061014544165
Benin,BEN,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Benin,BEN,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Benin,BEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Benin,BEN,Gini index (World Bank estimate),SI.POV.GINI,..
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1166.76057483953
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1182.83331244375
Bermuda,BMU,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bermuda,BMU,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bermuda,BMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bermuda,BMU,Gini index (World Bank estimate),SI.POV.GINI,..
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,19.5461414400175
Bhutan,BTN,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bhutan,BTN,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bhutan,BTN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bhutan,BTN,Gini index (World Bank estimate),SI.POV.GINI,37.4
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3072.02029929191
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.3321831440967
Bolivia,BOL,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bolivia,BOL,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bolivia,BOL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Bolivia,BOL,Gini index (World Bank estimate),SI.POV.GINI,44
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2490.95631434671
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,65.45951171875
Bosnia and Herzegovina,BIH,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bosnia and Herzegovina,BIH,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bosnia and Herzegovina,BIH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.20048
Bosnia and Herzegovina,BIH,Gini index (World Bank estimate),SI.POV.GINI,..
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5772.85405517122
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,3.89096748010516
Botswana,BWA,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,88
Botswana,BWA,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,87
Botswana,BWA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Botswana,BWA,Gini index (World Bank estimate),SI.POV.GINI,..
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7859.16728321039
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.8660384966033
Brazil,BRA,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Brazil,BRA,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Brazil,BRA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.26326
Brazil,BRA,Gini index (World Bank estimate),SI.POV.GINI,53.3
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,11021.7182622703
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,197.18
British Virgin Islands,VGB,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
British Virgin Islands,VGB,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
British Virgin Islands,VGB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
British Virgin Islands,VGB,Gini index (World Bank estimate),SI.POV.GINI,..
British Virgin Islands,VGB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,80.5451612903226
Brunei Darussalam,BRN,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Brunei Darussalam,BRN,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Brunei Darussalam,BRN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Brunei Darussalam,BRN,Gini index (World Bank estimate),SI.POV.GINI,..
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,31752.740813782
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,65.1800571112749
Bulgaria,BGR,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Bulgaria,BGR,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Bulgaria,BGR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.75239
Bulgaria,BGR,Gini index (World Bank estimate),SI.POV.GINI,40.4
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,8350.66224691942
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,70.1508918128655
Burkina Faso,BFA,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Burkina Faso,BFA,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Burkina Faso,BFA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.70072
Burkina Faso,BFA,Gini index (World Bank estimate),SI.POV.GINI,..
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,771.251918326884
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,421.61308411215
Burundi,BDI,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,83.3
Burundi,BDI,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,83.7
Burundi,BDI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Burundi,BDI,Gini index (World Bank estimate),SI.POV.GINI,..
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,214.139246201959
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,133.373945409429
Cabo Verde,CPV,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Cabo Verde,CPV,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Cabo Verde,CPV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Cabo Verde,CPV,Gini index (World Bank estimate),SI.POV.GINI,..
Cabo Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3619.6210221865
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,90.6946181735781
Cambodia,KHM,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
