"","Country.name","UHC.index.of.service.coverage..SCI.","UHC.SCI.components..Reproductive..maternal..newborn.and.child.health","UHC.SCI.components...Infectious.diseases","UHC.SCI.components..Noncommunicable.diseases","UHC.SCI.components..Service.capacity.and.access","Year","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Confidence.in.national.government","Democratic.Quality","Delivery.Quality","Standard.deviation.of.ladder.by.country.year","Standard.deviation.Mean.of.ladder.by.country.year","GINI.index..World.Bank.estimate.","GINI.index..World.Bank.estimate...average.2000.16","gini.of.household.income.reported.in.Gallup..by.wp5.year","Most.people.can.be.trusted..Gallup","Most.people.can.be.trusted..WVS.round.1981.1984","Most.people.can.be.trusted..WVS.round.1989.1993","Most.people.can.be.trusted..WVS.round.1994.1998","Most.people.can.be.trusted..WVS.round.1999.2004","Most.people.can.be.trusted..WVS.round.2005.2009","Most.people.can.be.trusted..WVS.round.2010.2014","Completeness of birth registration, female (%)","Completeness of birth registration, male (%)","GDP per capita (constant 2010 US$)","Gini index (World Bank estimate)","Population density (people per sq. km of land area)","Research and development expenditure (% of GDP)"
"1","Afghanistan",37,44,32,56,24,2017,2.66171813011169,7.49775457382202,0.490880072116852,52.7999992370605,0.427010864019394,-0.112198285758495,0.954392552375793,0.496348559856415,0.371326178312302,0.261178523302078,-1.8865659236908,-1.43780755996704,1.45405077934265,0.546282768249512,NA,NA,0.286598861217499,NA,NA,NA,NA,NA,NA,NA,"..","..","571.542505760778","..","55.5959930153479",".."
"2","Albania",59,45,69,56,69,2017,4.63954830169678,9.376145362854,0.637698292732239,68.4000015258789,0.749611020088196,-0.0326428152620792,0.876134634017944,0.669240891933441,0.333884119987488,0.457737535238266,0.299944996833801,-0.130315467715263,2.68210482597351,0.578096091747284,NA,0.30325,0.410487979650497,NA,NA,NA,0.243243247270584,0.23199999332428,NA,NA,"..","..","4864.3106163045","33.2","104.870693430657",".."
"3","Algeria",78,75,78,69,91,2017,5.24891233444214,9.54063892364502,0.806753873825073,65.6999969482422,0.436670482158661,-0.191522106528282,0.699774205684662,0.64197963476181,0.288710027933121,NA,-0.927691161632538,-0.816839098930359,2.03976464271545,0.388607114553452,NA,0.276,0.527555763721466,NA,NA,NA,NA,0.107644304633141,NA,0.179286330938339,"..","..","4793.94665710645","..","17.3777146120063","0.54243"
"4","Argentina",76,88,64,67,89,2017,6.03933000564575,9.84870910644531,0.906699120998383,68.5999984741211,0.831966161727905,-0.182599917054176,0.8410524725914,0.809422612190247,0.291717261075974,0.305430293083191,0.351303786039352,-0.158055663108826,2.40932893753052,0.3989397585392,NA,0.4609375,0.394175797700882,NA,0.270073294639587,0.223552897572517,0.170843616127968,0.150153532624245,0.174057528376579,0.193530723452568,"..","..","10404.2635134208","41.2","16.0941907925267","0.54152"
"5","Armenia",69,67,64,55,98,2017,4.28773641586304,9.08109474182129,0.697924911975861,66.5999984741211,0.613697052001953,-0.133957877755165,0.864683330059052,0.625013828277588,0.437148749828339,0.246900990605354,-0.633139133453369,-0.132938727736473,2.32537889480591,0.542332530021667,NA,0.31925,0.47887659072876,NA,NA,NA,0.234999999403954,NA,NA,0.109135806560516,"..","..","4198.79474867504","33.6","103.435511064278","0.22788"
"6","Australia",87,91,82,75,100,2017,7.25703763961792,10.7065811157227,0.949957847595215,73.3000030517578,0.910550177097321,0.308772951364517,0.411346524953842,0.780078887939453,0.225360974669456,0.45340695977211,1.14008355140686,1.73567199707031,1.74569892883301,0.240552559494972,NA,0.34275,0.428340911865234,NA,0.478149384260178,NA,0.39449205994606,NA,0.461379021406174,0.518140077590942,"100","100","56095.1863203728","..","3.19836141871706","1.87372"
"7","Austria",79,91,79,62,88,2017,7.29372787475586,10.7240753173828,0.906217813491821,72.6999969482422,0.890030562877655,0.131114438176155,0.51830381155014,0.747568726539612,0.180268719792366,0.435907930135727,1.1894805431366,1.55931270122528,1.56106197834015,0.214028000831604,NA,0.302692307692308,0.32294163107872,NA,NA,NA,NA,NA,NA,NA,"100","100","49112.7328902854","29.7","106.607445296677","3.05212"
"8","Azerbaijan",65,49,65,60,94,2017,5.15227937698364,9.67076206207275,0.787039399147034,65.1999969482422,0.731030464172363,-0.245215877890587,0.652539014816284,0.592359244823456,0.198318660259247,0.766583442687988,-1.16263282299042,-0.461928248405457,1.67375683784485,0.324857532978058,NA,0.211,0.313743263483047,NA,NA,NA,0.194305688142776,NA,NA,0.147932931780815,"..","..","5764.69251955865","..","119.197205757832","0.18468"
"9","Bahrain",77,85,64,66,98,2017,6.22732067108154,10.6756935119629,0.87574714422226,68.5,0.905858516693115,0.128193482756615,NA,0.813570559024811,0.289759516716003,NA,-1.16743397712708,0.226644456386566,2.21552562713623,0.355775088071823,NA,NA,0.446609318256378,NA,NA,NA,NA,NA,NA,0.33500000834465,"..","..","22128.4326997504","..","1920.40352364259",".."
"10","Bangladesh",48,58,39,57,42,2017,4.3097710609436,8.1673469543457,0.712552785873413,63.7999992370605,0.896217167377472,0.0162690617144108,0.635014474391937,0.568827092647552,0.213505759835243,0.876646459102631,-0.932842969894409,-0.761903524398804,1.86536598205566,0.432822525501251,NA,0.32775,0.532750129699707,NA,NA,NA,0.204590156674385,0.232666671276093,NA,NA,"..","..","1127.27176833347","..","1226.63127448721",".."
